time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
8880,5.0,145.0038480758667,,,,,,1367.7823059082032,2210,0.2,-3.003337708115578,0.44650691747665405,0.0003,-0.006744008071837016,0.45000001061707734,0.026960045,0.6877305507659912,800.7954711914062
8880,,,4.18,112.13251841000002,7858,1,222,,,,,,,,,,,
8920,2.0,36.369346618652344,,,,,,2213.072885322571,2220,0.2,-2.9999177038669584,0.13066202402114868,0.0003,0.008196634603500574,0.32000000663101674,0.004356487,0.6852601766586304,862.5250244140625
8920,,,4.2,109.78086216,7891,1,223,,,,,,,,,,,
8960,5.0,210.9452018737793,,,,,,1953.7675388336181,2230,0.2,-2.9871350675821304,0.03978520631790161,0.0003,0.038990255238531966,0.3575000077486038,0.047565,0.6838732957839966,461.7620849609375
8960,,,4.2,109.23510866000002,7930,1,224,,,,,,,,,,,
9000,4.0,73.51030921936035,,,,,,2234.384857940674,2240,0.2,-2.9869871944189073,0.22770410776138306,0.0003,-0.007980150870680514,0.3575000071898103,0.052746218,0.6849753260612488,865.7549438476562
9000,,,4.16,109.78921802,7970,1,225,,,,,,,,,,,
9040,5.0,177.7127685546875,,,,,,2076.18900642395,2250,0.2,-2.988154724240303,0.265693724155426,0.0003,0.01207404068729374,0.4275000087916851,0.007574703,0.6839696764945984,625.4111328125
9040,,,4.18,109.56444512999998,8012,1,226,,,,,,,,,,,
9080,5.0,127.52775382995605,,,,,,3758.5101425170897,2260,0.2,-2.980355742573738,-0.008870720863342285,0.0003,-0.022054700577082254,0.20750000420957804,0.022865731,0.682090699672699,1461.089599609375
9080,,,4.17,109.58646319000003,8057,1,227,,,,,,,,,,,
9120,4.0,98.4898509979248,,,,,,2801.358387756348,2270,0.2,-2.9739822268486025,0.11446553468704224,0.0003,0.03268818797114363,0.4475000100210309,0.06827081,0.6823071837425232,601.21533203125
9120,,,4.09,107.60387294000002,8101,1,228,,,,,,,,,,,
9160,5.0,169.83493328094482,,,,,,2066.735310745239,2280,0.2,-2.973124673962593,0.20762521028518677,0.0003,0.0008861581902601667,0.6500000119209289,0.08661257,0.6829313039779663,2625.47119140625
9160,,,4.05,106.35489431,8142,1,229,,,,,,,,,,,
