time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
3440,5.0,84.89128398895264,,,,,,0.008918208,0.0003,0.22512847185134888,850,346.7591247558594,-3.597377750277519,0.3050000058487058,0.01164943144554854,1049.016175842285,0.2,0.8094851970672607
3440,,,5788,0,65.96326715,4.29,86,,,,,,,,,,,
3480,5.0,135.8100814819336,,,,,,0.017742764,0.0003,0.0359494686126709,860,830.7681274414062,-3.5816386699676515,0.30250000637024643,-0.018040254998777528,1296.058436012268,0.2,0.8063928484916687
3480,,,5900,0,65.54105527,4.39,87,,,,,,,,,,,
3520,5.0,116.55461502075195,,,,,,0.0476074,0.0003,0.21373844146728516,870,434.2255859375,-3.5728225350379943,0.34500000793486835,-0.042944788169916134,1025.284348678589,0.2,0.8046320676803589
3520,,,5965,0,68.62150278000001,4.49,88,,,,,,,,,,,
3560,5.0,54.574997901916504,,,,,,0.02602404,0.0003,0.32531261444091797,880,475.5216064453125,-3.5670913398265838,0.3175000071525574,0.007158417032314901,971.3703496932983,0.2,0.8039226531982422
3560,,,5981,0,70.41594857000001,4.53,89,,,,,,,,,,,
3600,5.0,98.76236343383789,,,,,,0.009318012,0.0003,0.28106236457824707,890,337.7988586425781,-3.559847828745842,0.09750000145286322,-0.0028153457809821703,725.7660667419434,0.2,0.8021367788314819
3600,,,5996,0,70.81842134,4.54,90,,,,,,,,,,,
3640,5.0,42.406267285346985,,,,,,0.012968197,0.0003,0.3005449175834656,900,436.95916748046875,-3.555599868297577,0.14500000271946192,-0.019046058451057758,710.6018000602722,0.2,0.8006681203842163
3640,,,6011,0,69.57686657,4.56,91,,,,,,,,,,,
3680,5.0,75.7152771949768,,,,,,0.044831127,0.0003,0.12426173686981201,910,2163.38037109375,-3.5506225138902665,0.3225000070407987,-0.016574748543780514,1561.332247543335,0.2,0.7997395396232605
3680,,,6026,0,70.12843491000001,4.57,92,,,,,,,,,,,
3720,5.0,167.08428573608398,,,,,,0.029590206,0.0003,0.4049420952796936,920,481.8448486328125,-3.5433257579803468,0.36250000782310965,-0.01656461111823774,475.5126196861267,0.2,0.7966670989990234
3720,,,6043,0,74.23629440999999,4.68,93,,,,,,,,,,,
3760,5.0,153.7977123260498,,,,,,0.09115597,0.0003,0.34300869703292847,930,606.3880615234375,-3.528008958697319,0.37750000786036253,-0.04060728327895049,1011.7508407592774,0.2,0.7943100333213806
3760,,,6060,0,72.51091324,4.63,94,,,,,,,,,,,
3800,5.0,121.51571369171143,,,,,,0.02217632,0.0003,0.06886512041091919,940,1533.0771484375,-3.5219431430101396,0.18500000331550837,-0.03098203154404473,1552.4938974380493,0.2,0.7925595045089722
3800,,,6124,0,70.84112281,4.49,95,,,,,,,,,,,
3840,5.0,31.251073598861694,,,,,,0.0081464425,0.0003,0.06692898273468018,950,604.031982421875,-3.5155845671892165,0.10750000234693288,-0.01308520665654216,997.8524677276612,0.2,0.7924402952194214
